subj,session,trial,block,sex,age,date,stim,stim_order,filter,filter_freq,filter_gain,response,rt
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,0,0.00000000,-3.97306523,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,1,104.58767290,-2.00906891,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,2,224.80189054,0.98478158,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,3,362.97743001,-1.44563179,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,4,521.79790965,-0.56676753,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,5,704.34790983,4.77407612,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,6,914.17288101,3.07262866,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,7,1155.34800284,3.05502310,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,8,1432.55733147,-3.89900967,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,9,1751.18477235,0.65708411,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,10,2117.41864548,0.41127230,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,11,2538.37187364,-0.47891374,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,12,3022.22012828,-0.74453010,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,13,3578.36061576,3.75526281,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,14,4217.59458808,-0.41224653,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,15,4952.33712269,1.07170172,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,16,5796.85824570,-0.27051555,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,17,6767.56008152,3.19766361,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,18,7883.29541175,1.18516506,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,19,9165.73383021,-4.52521201,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,20,10639.78260555,-2.13051961,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,21,12334.07042541,1.42276156,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,22,14281.50341712,3.02570615,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,23,16519.90424416,-3.97755435,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,24,19092.74669051,0.71013413,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_1.wav,0,25,22050.00000000,1.59770815,True,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,0,0.00000000,4.58819139,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,1,104.58767290,0.38420905,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,2,224.80189054,3.31355169,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,3,362.97743001,-1.50075041,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,4,521.79790965,-4.02152596,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,5,704.34790983,1.32948124,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,6,914.17288101,-4.09670217,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,7,1155.34800284,1.32804793,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,8,1432.55733147,-1.80515940,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,9,1751.18477235,1.68101120,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,10,2117.41864548,-0.20181321,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,11,2538.37187364,-1.14576093,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,12,3022.22012828,-4.49734638,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,13,3578.36061576,0.48575382,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,14,4217.59458808,1.52691912,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,15,4952.33712269,0.14136143,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,16,5796.85824570,2.06987844,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,17,6767.56008152,-4.70966314,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,18,7883.29541175,-4.84018484,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,19,9165.73383021,1.08476750,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,20,10639.78260555,-2.91798083,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,21,12334.07042541,-4.52739269,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,22,14281.50341712,-0.70374908,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,23,16519.90424416,4.88451900,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,24,19092.74669051,-4.43692226,False,0.427
1,1,0,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_practice_a_2.wav,1,25,22050.00000000,-3.69134890,False,0.427
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,0,100.0,-0.8413748087013819,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,1,191.0,-0.508212207818517,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,2,293.0,-0.7064540836890618,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,3,406.0,-1.563085776129798,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,4,533.0,-1.0042739144132906,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,5,673.0,0.5503436455299164,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,6,830.0,0.6355236363614536,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,7,1004.0,0.18258331583897092,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,8,1199.0,1.0775510715714662,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,9,1416.0,0.07035631583735258,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,10,1657.0,-0.17815117497723656,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,11,1926.0,-0.1694125054827026,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,12,2226.0,0.16378442502596796,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,13,2560.0,0.34787304916463235,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,14,2932.0,0.0626149612132311,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,15,3346.0,0.2996597360864252,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,16,3808.0,0.42937102971314384,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,17,4322.0,-0.41737623835229487,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,18,4895.0,0.059966459920471,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,19,5534.0,0.27708525932290595,True,0.349
1,1,1,0,f,24,2021-06-21 16:54:49.615460,practice/M_n_cut_smile_controls.wav,0,20,6245.0,0.17960724922351168,True,0.349
